City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
San Patricio,19.22,-104.7,78.33,78,100,4.34,MX,1597305793
Kolno,53.41,21.93,68.0,52,58,5.82,PL,1597305794
Elk Plain,47.05,-122.4,59.0,81,40,2.48,US,1597305794
Cairns,-16.92,145.77,77.0,65,40,6.93,AU,1597305497
Caravelas,-17.71,-39.25,68.22,89,0,4.52,BR,1597305794
Rawson,-43.3,-65.1,46.26,65,0,19.69,AR,1597305794
Chokurdakh,70.63,147.92,45.32,72,100,6.89,RU,1597305795
Ukiah,39.15,-123.21,66.2,37,1,2.17,US,1597305672
Pevek,69.7,170.31,41.92,96,100,2.48,RU,1597305795
Puerto Madryn,-42.77,-65.04,47.35,61,2,21.43,AR,1597305796
Summerville,33.02,-80.18,81.0,100,75,2.46,US,1597305601
Baraboo,43.47,-89.74,63.0,93,1,3.78,US,1597305796
Ola,59.58,151.28,57.25,83,32,3.51,RU,1597305796
Avera,33.19,-82.53,75.2,71,1,3.36,US,1597305797
Ahipara,-35.17,173.17,51.89,82,100,6.98,NZ,1597305797
São João da Barra,-21.64,-41.05,71.67,82,0,20.02,BR,1597305678
Puerto Carreño,6.19,-67.49,75.58,94,100,3.74,CO,1597305797
Benjamín Aceval,-24.97,-57.57,53.6,87,90,5.82,PY,1597305798
São Filipe,14.9,-24.5,77.38,81,100,7.36,CV,1597305798
Ushtobe,45.25,77.98,85.33,20,100,16.62,KZ,1597305798
Erzincan Province,39.75,39.5,78.8,36,0,2.24,TR,1597305799
Syas'stroy,60.14,32.57,58.37,65,98,4.99,RU,1597305799
Nishihara,26.18,127.76,89.6,62,40,12.75,JP,1597305799
Ust-Kuyga,70.02,135.6,50.07,57,100,20.94,RU,1597305799
Vila Velha,-20.33,-40.29,71.6,88,75,5.82,BR,1597305615
Puerto Escondido,15.85,-97.07,79.39,70,100,5.19,MX,1597305800
Provideniya,64.38,-173.3,49.55,79,100,6.33,RU,1597305800
Beshpagir,45.02,42.38,80.6,39,75,13.42,RU,1597305800
Vaini,-21.2,-175.2,69.8,94,75,9.17,TO,1597305801
Stromness,58.97,-3.3,55.4,100,90,8.05,GB,1597305801
Longyearbyen,78.22,15.64,50.0,71,75,4.7,SJ,1597305801
Rørvik,64.86,11.24,55.4,82,100,5.82,NO,1597305801
Waddān,29.16,16.14,86.04,31,0,8.16,LY,1597305801
Fare,-16.7,-151.02,77.59,82,0,16.08,PF,1597305802
Ponta do Sol,32.67,-17.1,71.6,64,20,9.17,PT,1597305802
Yeppoon,-23.13,150.73,77.0,53,0,5.82,AU,1597305802
Destin,30.39,-86.5,80.6,88,40,4.7,US,1597305802
Charters Towers,-20.1,146.27,75.16,51,0,13.82,AU,1597305803
Katsuura,35.13,140.3,91.4,66,75,8.05,JP,1597305803
Sitka,57.05,-135.33,53.6,81,75,3.36,US,1597305803
Nikolskoye,59.7,30.79,62.6,51,40,4.47,RU,1597305803
Ginir,7.13,40.7,70.84,64,17,1.63,ET,1597305804
Vrangel',42.73,133.08,74.55,73,98,1.95,RU,1597305804
Jackson,42.42,-122.83,68.0,40,1,3.36,US,1597305608
Salinópolis,-0.61,-47.36,78.42,87,1,10.31,BR,1597305804
Yellowknife,62.46,-114.35,62.6,72,90,10.29,CA,1597305648
Koslan,63.46,48.9,53.64,57,96,5.55,RU,1597305805
Te Anau,-45.42,167.72,36.86,87,72,4.85,NZ,1597305805
Salinas,36.68,-121.66,62.6,82,90,1.7,US,1597305729
Moba,33.23,105.02,75.04,48,0,5.19,CN,1597305806
Adrar,20.5,-10.07,91.31,36,24,7.36,MR,1597305806
Bowen,-20.02,148.23,77.0,61,0,8.05,AU,1597305806
Labuhan,-6.88,112.21,87.71,61,27,10.74,ID,1597305807
Sparks,39.53,-119.75,66.99,34,1,5.82,US,1597305807
Khangarh,29.92,71.16,100.4,53,0,13.87,PK,1597305807
Codrington,-38.27,141.97,53.02,90,2,7.96,AU,1597305807
Koumac,-20.57,164.28,67.84,73,0,12.68,NC,1597305808
Solnechnyy,50.72,136.63,73.44,55,29,2.64,RU,1597305808
Bilma,18.69,12.92,94.89,30,29,9.75,NE,1597305809
Yulara,-25.24,130.99,73.4,23,90,13.87,AU,1597305809
Krasnozerskoye,53.98,79.24,71.4,64,81,14.0,RU,1597305810
Hambantota,6.12,81.12,91.4,59,75,14.99,LK,1597305810
Nouakchott,18.09,-15.98,78.33,84,86,11.45,MR,1597305545
Miyako,39.64,141.95,81.32,67,22,4.5,JP,1597305811
San Vicente,-26.62,-54.13,57.51,100,98,1.57,AR,1597305811
Brigantine,39.41,-74.36,75.99,88,90,3.36,US,1597305811
Arrondissement de Nevers,46.92,3.33,68.0,77,64,5.82,FR,1597305811
Inhambupe,-11.78,-38.35,65.59,95,18,2.93,BR,1597305812
Eidsvåg,62.78,8.07,62.6,88,75,8.05,NO,1597305812
São Miguel do Araguaia,-13.28,-50.16,67.15,45,0,4.63,BR,1597305812
Nanortalik,60.14,-45.24,49.17,94,100,2.84,GL,1597305813
Verkhnevilyuysk,63.45,120.32,55.72,48,9,9.66,RU,1597305813
Olafsvik,64.89,-23.71,52.43,95,100,19.8,IS,1597305813
Karratha,-20.74,116.85,76.01,32,0,9.04,AU,1597305528
Awjilah,29.11,21.29,86.81,33,0,6.35,LY,1597305813
Carnarvon,-24.87,113.63,69.8,52,0,18.34,AU,1597305814
Storforshei,66.4,14.52,57.2,76,80,2.24,NO,1597305814
Lebu,-37.62,-73.65,48.74,84,92,4.76,CL,1597305815
Wawa,9.9,4.42,77.31,79,87,5.26,NG,1597305815
Tessalit,20.2,1.01,87.69,44,13,4.76,ML,1597305815
Kaitangata,-46.28,169.85,42.01,61,51,4.0,NZ,1597305815
Paungde,18.48,95.5,83.12,82,100,16.69,MM,1597305816
Kieta,-6.22,155.63,80.58,81,4,6.98,PG,1597305611
Kahului,20.89,-156.47,78.8,65,20,10.29,US,1597305816
Laguna,38.42,-121.42,73.4,43,1,5.82,US,1597305816
Myitkyina,25.38,97.4,77.45,96,100,1.72,MM,1597305816
Port-Gentil,-0.72,8.78,78.8,78,75,13.18,GA,1597305553
Marawi,8.0,124.29,75.0,93,100,1.01,PH,1597305817
Saint-Augustin,51.23,-58.65,63.59,94,69,6.31,CA,1597305817
Sault Ste. Marie,46.52,-84.33,64.4,72,1,3.36,CA,1597305817
Igrim,63.19,64.42,58.23,53,94,2.39,RU,1597305818
Paracuru,-3.41,-39.03,77.0,75,29,3.0,BR,1597305809
Pernem,15.72,73.8,81.27,80,100,11.9,IN,1597305818
Matadi,-5.82,13.45,74.93,66,100,4.52,CD,1597305818
Banepā,27.63,85.52,84.2,70,40,10.29,NP,1597305818
Norman Wells,65.28,-126.83,57.2,93,75,3.36,CA,1597305819
Kavaratti,10.57,72.64,86.0,70,40,9.17,IN,1597305819
Talnakh,69.49,88.4,80.6,39,0,22.37,RU,1597305819
Vung Tau,10.35,107.08,82.65,78,100,8.37,VN,1597305819
Barrow,71.29,-156.79,44.6,81,90,8.05,US,1597305820
Innisfail,-17.53,146.03,75.99,44,12,3.0,AU,1597305561
Rūdbār,30.15,62.6,102.65,8,6,7.7,AF,1597305820
Pauini,-7.71,-66.98,73.98,61,14,2.15,BR,1597305821
Castro,-24.79,-50.01,56.39,92,99,1.61,BR,1597305821
Tura,25.52,90.22,86.56,76,59,5.37,IN,1597305821
Hobyo,5.35,48.53,81.81,63,6,24.67,SO,1597305821
Owando,-0.48,15.9,82.27,64,43,6.29,CG,1597305822
Lac du Bonnet,50.25,-96.06,69.01,99,100,8.16,CA,1597305822
Pampa,35.54,-100.96,78.8,44,1,10.29,US,1597305823
San Cristobal,7.77,-72.22,65.28,91,73,3.0,VE,1597305823
Mount Gambier,-37.83,140.77,57.2,76,40,12.75,AU,1597305823
Vakhrushevo,55.23,61.72,64.4,48,40,2.24,RU,1597305823
Half Moon Bay,37.46,-122.43,60.8,82,1,3.36,US,1597305824
Meadow Lake,34.8,-106.54,80.6,28,90,5.82,US,1597305732
Faanui,-16.48,-151.75,76.71,84,3,17.27,PF,1597305824
Margate,51.38,1.39,73.0,83,100,1.01,GB,1597305824
Honningsvåg,70.98,25.97,50.38,74,85,4.23,NO,1597305825
Ambanja,-13.68,48.45,81.9,40,0,4.9,MG,1597305825
Atar,20.52,-13.05,86.68,50,0,5.64,MR,1597305825
Tigil',57.8,158.67,62.38,64,100,5.95,RU,1597305825
Constitución,-35.33,-72.42,46.18,82,0,6.67,CL,1597305826
Cherskiy,68.75,161.3,45.01,90,96,4.18,RU,1597305826
Manaure,11.78,-72.44,81.7,77,53,16.04,CO,1597305826
Correntina,-13.34,-44.64,61.48,82,0,4.38,BR,1597305826
Ginda,30.69,78.49,78.8,94,90,3.42,IN,1597305827
Baruun-Urt,46.68,113.28,61.09,79,96,18.37,MN,1597305827
Souillac,-20.52,57.52,75.2,60,40,16.11,MU,1597305664
Deputatsky,69.3,139.9,42.71,68,100,14.58,RU,1597305828
Esim,4.87,-2.24,76.24,74,4,0.27,GH,1597305828
Melfi,41.0,15.65,82.4,51,14,3.85,IT,1597305829
Lompoc,34.64,-120.46,57.2,93,90,5.46,US,1597305640
Borba,-4.39,-59.59,73.29,88,100,1.48,BR,1597305829
Tibacuy,4.35,-72.46,75.81,86,99,1.97,CO,1597305830
Nome,64.5,-165.41,48.2,81,40,8.05,US,1597305830
Kutum,14.2,24.67,78.19,62,23,12.21,SD,1597305830
Nizhniy Baskunchak,48.22,46.83,82.72,39,87,9.06,RU,1597305831
Olinda,-8.01,-34.86,73.4,94,75,3.36,BR,1597305658
Sabha,27.04,14.43,94.39,20,0,12.68,LY,1597305831
Grindavik,63.84,-22.43,50.0,100,90,23.04,IS,1597305831
Severobaykal'sk,55.65,109.32,65.21,65,100,2.3,RU,1597305832
Guerrero Negro,27.98,-114.06,72.3,62,0,10.47,MX,1597305832
Zhongxing,33.7,118.68,88.77,76,100,13.58,CN,1597305832
Mabaruma,8.2,-59.78,73.81,97,14,1.54,GY,1597305832
Hazorasp,41.32,61.07,86.0,30,8,6.93,UZ,1597305833
Katherine,-14.47,132.27,95.0,28,53,8.05,AU,1597305833
Sioux Lookout,50.1,-91.92,60.8,87,40,2.24,CA,1597305834
Ninghai,29.29,121.42,100.4,47,20,6.71,CN,1597305834
Kodinsk,58.69,99.18,81.41,40,83,3.76,RU,1597305834
Wuda,39.5,106.71,91.4,13,0,10.45,CN,1597305834
Bonfim,3.08,-59.95,74.41,88,49,1.9,BR,1597305834
Coyhaique,-45.58,-72.07,44.6,65,40,5.82,CL,1597305835
Mayo,38.89,-76.51,77.0,94,1,4.7,US,1597305835
Fairbanks,64.84,-147.72,53.6,93,20,1.16,US,1597305607
Ixtapa,20.7,-105.2,77.0,97,100,1.01,MX,1597305835
Kushima,31.46,131.23,91.4,79,40,10.29,JP,1597305836
Zonguldak,41.25,31.83,80.6,51,20,3.36,TR,1597305836
Westport,41.14,-73.36,77.0,69,20,6.93,US,1597305836
Kirakira,-10.45,161.92,79.99,82,86,9.28,SB,1597305836
Simi,9.57,-12.35,71.65,95,100,1.88,SL,1597305836
Philadelphia,39.95,-75.16,75.99,100,1,0.87,US,1597305718
Arrondissement de Bourges,47.25,2.42,70.0,93,83,5.82,FR,1597305837
Palmer,42.16,-72.33,69.01,93,20,3.36,US,1597305837
Asău,46.43,26.4,71.01,59,14,3.58,RO,1597305837
La Santisima Trinidad,-14.83,-64.9,68.54,88,0,2.91,BO,1597305838
Labytnangi,66.66,66.42,53.44,56,77,12.66,RU,1597305789
Sokoni,-6.43,39.55,80.6,74,40,5.82,TZ,1597305838
Kisangani,0.52,25.2,75.2,88,75,3.36,CD,1597305831
Hasaki,35.73,140.83,88.0,70,75,8.05,JP,1597305839
Andenes,69.31,16.12,57.2,87,75,6.93,NO,1597305839
Yārāda,17.65,83.27,82.4,88,90,5.82,IN,1597305839
Vostok,46.49,135.88,69.71,74,91,3.4,RU,1597305839
Paamiut,61.99,-49.67,44.53,88,1,11.12,GL,1597305839
Union,40.63,-74.27,78.8,83,1,4.65,US,1597305840
Okato,-39.2,173.88,53.01,70,100,0.36,NZ,1597305840
Mont-Dore,-22.28,166.58,68.0,68,75,2.24,NC,1597305840
Fort Nelson,58.81,-122.7,45.75,95,17,4.23,CA,1597305841
Votkinsk,57.05,53.99,62.01,69,84,1.99,RU,1597305841
Khuzdar,27.74,66.64,96.89,22,47,5.37,PK,1597305841
Banda Aceh,5.56,95.32,87.6,54,100,15.01,ID,1597305841
Marzuq,14.4,46.47,90.52,32,23,4.68,YE,1597305842
Plettenberg Bay,-34.05,23.37,57.34,65,59,18.01,ZA,1597305842
Qeshm,26.96,56.27,98.6,67,75,13.87,IR,1597305842
Along,28.17,94.77,77.86,90,100,0.96,IN,1597305842
Mthatha,-31.59,28.78,62.6,29,0,19.46,ZA,1597305843
Atikokan,48.76,-91.62,60.8,83,19,5.99,CA,1597305843
Camaná,-16.62,-72.71,55.71,77,51,6.2,PE,1597305843
Rocha,-34.48,-54.33,38.1,77,0,4.81,UY,1597305843
Bubaque,11.28,-15.83,79.25,83,82,13.44,GW,1597305843
Shumskiy,54.83,99.13,79.95,43,84,3.91,RU,1597305844
Cururupu,-1.83,-44.87,74.26,93,26,4.09,BR,1597305844
Gazojak,41.19,61.4,93.04,17,10,6.42,TM,1597305844
Imbituba,-28.24,-48.67,62.6,100,90,9.17,BR,1597305637
Namatanai,-3.67,152.43,81.45,78,100,5.95,PG,1597305845
Tabas,33.6,56.92,102.2,11,0,2.24,IR,1597305845
Kongsberg,59.67,9.65,68.0,82,100,1.43,NO,1597305845
Airai,-8.93,125.41,70.38,65,23,2.8,TL,1597305845
Taoudenni,22.68,-3.98,97.12,31,14,7.76,ML,1597305845
Kibre Mengist,5.88,38.98,69.42,69,91,3.27,ET,1597305846
Brufut,13.38,-16.75,75.2,100,75,8.43,GM,1597305846
College,64.86,-147.8,52.0,87,75,0.98,US,1597305846
Mapiripán,2.89,-72.13,72.79,96,82,2.62,CO,1597305846
Verāval,20.9,70.37,82.36,82,100,23.55,IN,1597305754
Craidorolţ,47.62,22.7,73.4,64,0,1.12,RO,1597305848
Mackay,-21.15,149.2,73.4,73,0,9.17,AU,1597305830
Saint-François,46.42,3.91,81.0,64,97,1.12,FR,1597305849
Shingū,33.73,135.98,86.0,84,40,8.05,JP,1597305849
Muzhi,65.37,64.67,54.3,53,79,14.45,RU,1597305850
Broken Hill,-31.95,141.43,68.0,32,90,8.05,AU,1597305850
Mount Isa,-20.73,139.5,91.4,14,0,8.05,AU,1597305811
Narsaq,60.92,-46.05,48.2,87,100,4.7,GL,1597305851
Amargosa,-13.03,-39.6,64.26,97,54,4.47,BR,1597305851
Gorontalo,0.54,123.06,86.86,52,0,4.52,ID,1597305851
Dillon,34.42,-79.37,75.2,94,75,2.71,US,1597305851
Miraflores,19.22,-98.81,60.8,38,75,4.7,MX,1597305851
Richards Bay,-28.78,32.04,73.4,42,0,13.42,ZA,1597305852
Kristinestad,62.27,21.38,64.49,63,40,3.09,FI,1597305852
Price,39.6,-110.81,64.4,17,1,8.05,US,1597305852
General Pico,-35.66,-63.76,40.59,56,0,7.07,AR,1597305852
Port Augusta,-32.5,137.77,61.0,82,75,1.12,AU,1597305853
Canmore,51.08,-115.35,44.01,93,1,4.7,CA,1597305652
Moses Lake,47.13,-119.28,62.6,58,1,3.36,US,1597305688
Mago,53.25,140.18,71.62,52,28,4.36,RU,1597305853
Rumoi,43.93,141.64,67.37,83,81,7.02,JP,1597305854
Ulaanbaatar,47.91,106.88,73.4,43,40,11.18,MN,1597305621
Makakilo City,21.35,-158.09,80.6,65,1,4.7,US,1597305854
Tahoua,14.89,5.27,80.6,78,65,6.93,NE,1597305854
Lazurne,46.08,32.53,69.8,46,40,13.42,UA,1597305855
Oberwart,47.29,16.21,79.0,72,0,1.99,AT,1597305855
Kavieng,-2.57,150.8,82.69,77,100,5.23,PG,1597305855
Quatre Cocos,-20.21,57.76,75.2,60,40,16.11,MU,1597305855
Isangel,-19.55,169.27,71.73,81,95,12.91,VU,1597305856
Nexø,55.06,15.13,69.8,64,48,6.93,DK,1597305856
Henties Bay,-22.12,14.28,55.0,89,1,3.0,NA,1597305856
Wanning,18.8,110.4,81.12,82,100,11.68,CN,1597305856
São Gabriel da Cachoeira,-0.13,-67.09,72.93,96,82,0.16,BR,1597305857
Kamaishi,39.27,141.88,84.2,54,40,11.41,JP,1597305857
Muroto-misakicho,33.28,134.15,89.6,75,40,10.29,JP,1597305632
Inuvik,68.35,-133.72,50.0,100,90,4.7,CA,1597305857
Hong Kong,22.29,114.16,88.0,80,0,11.99,HK,1597305746
Davila,18.47,120.58,87.8,74,40,8.05,PH,1597305858
Lingao,19.91,109.69,81.12,83,100,9.15,CN,1597305858
Gemeente Wageningen,51.97,5.67,78.01,65,90,2.24,NL,1597305806
